composition delta_e
Y0.500000Ac0.250000Np0.250000 0.49778263
Mg0.250000Np0.750000 0.67313764
Co0.500000La0.250000Tb0.250000 0.15921478
Mg0.250000Pt0.500000Tl0.250000 -0.34560719
Ga0.250000Lu0.500000U0.250000 0.3014202
Li0.250000Ti0.250000V0.250000Zn0.250000 0.20930553
B0.250000Cu0.250000W0.250000Ir0.250000 0.54700942
Mn0.666700Ge0.333300 -0.044679179
Rh0.250000Au0.500000Hg0.250000 0.22318682
Na0.250000W0.500000Pa0.250000 1.0732256
Zn0.500000Rb0.250000Pb0.250000 0.18616488
Co0.250000Te0.250000Th0.500000 -0.18455445
Ga0.500000U0.500000 -0.10661482
B0.200000O0.600000Al0.150000Gd0.050000 -3.1085603
Eu0.250000Ho0.250000Np0.500000 0.83315385
Ca0.500000V0.250000Au0.250000 0.063343265
Co0.250000Ni0.500000Rb0.250000 1.3532462
Sm0.250000Gd0.500000Pb0.250000 -0.11647928
Si0.250000Te0.500000Sm0.250000 -0.31186388
Ni0.500000Nb0.250000Hg0.250000 0.037186321
Gd0.750000Pt0.250000 -0.40488559
Si0.250000Cr0.250000Cu0.250000Au0.250000 0.13151814
Tc0.250000Dy0.250000Tm0.500000 0.17293064
Ce0.250000Gd0.500000Ho0.250000 0.14330183
B0.250000Ca0.250000Dy0.500000 0.69871868
Ga0.500000Hf0.250000Pu0.250000 0.20931304
O0.571400Tl0.285700Pb0.142900 -1.068111
Cu0.250000Ga0.250000Nb0.250000Hf0.250000 0.21989633
Be0.200000O0.600000Dy0.200000 -3.4544575
Ca0.250000Pr0.250000Th0.500000 0.30283958
Al0.250000Os0.250000Pt0.500000 -0.080733993
O0.555600Al0.222200La0.222200 -3.2376304
Cr0.250000Mn0.250000Ga0.250000Cd0.250000 0.2774321
Mn0.333300Ge0.333300Ba0.333300 -0.22370409
Si0.250000Cu0.250000Cd0.250000Os0.250000 0.37991974
Rb0.250000Ba0.250000Pm0.500000 0.60022133
As0.333300Hf0.333300Pt0.333300 -0.69399511
Li0.500000Ni0.250000Cu0.250000 0.06743024
Mn0.250000Co0.250000Cu0.250000Pb0.250000 0.33323986
Er0.250000Bi0.250000Pu0.500000 1.2716885
Be0.250000Ru0.250000Rh0.500000 0.10517535
In0.500000La0.250000Er0.250000 -0.47454268
Li0.250000Sr0.250000Au0.500000 -0.57792172
Ge0.250000Nb0.500000Pd0.250000 -0.17932972
Sr0.250000Lu0.250000Au0.500000 -0.68900279
Ag0.500000Au0.250000Pb0.250000 0.016846256
Ca0.500000Rb0.250000Sr0.250000 0.19864022
Ca0.250000Mo0.500000U0.250000 0.70169711
Sc0.250000V0.250000Mn0.250000Sn0.250000 -0.086041059
Sb0.250000Gd0.500000U0.250000 0.098293811
Co0.250000Pm0.750000 0.2159232
Ga0.250000Mo0.250000Nd0.500000 0.13788272
O0.600000Sr0.200000Nb0.100000Yb0.100000 -3.038258
Nd0.250000Tm0.250000Hf0.500000 0.38788382
Cu0.500000Cs0.250000Tl0.250000 0.61746676
Na0.250000Fe0.250000Rh0.500000 0.301392
K0.250000Co0.250000Ru0.500000 1.4940236
Rh0.500000Sb0.250000Pa0.250000 -0.57162639
Cu0.250000In0.250000Ir0.250000Hg0.250000 0.20408836
Pd0.250000Cs0.250000W0.500000 2.0352743
Cs0.250000Pm0.250000Os0.500000 1.6924652
Li0.250000Sr0.250000Sb0.500000 -0.49392408
Si0.250000Hf0.500000Au0.250000 -0.35179833
Sc0.250000Ho0.250000Hf0.500000 0.327175
Sn0.250000Tb0.500000Hg0.250000 -0.24640363
Tc0.250000La0.500000Lu0.250000 0.30555054
Cu0.250000Au0.500000Pb0.250000 0.10410234
K0.250000Rh0.250000Hg0.500000 0.3050573
Rb0.250000Nd0.500000Hf0.250000 0.83786584
Pr0.500000Ho0.250000Yb0.250000 0.099470973
Y0.250000Os0.750000 0.44165165
B0.500000Zr0.500000 -0.67417423
Li0.250000Cu0.250000Tc0.250000Pb0.250000 0.44121772
O0.555600Ir0.222200Pu0.222200 -1.8833081
As0.250000Ag0.500000Pr0.250000 -0.2253033
Li0.038500B0.346200O0.576900Ba0.038500 -2.7355962
O0.600000Mn0.200000Se0.200000 -1.5564541
Mg0.250000Pd0.250000Pb0.500000 -0.1267914
Mg0.993300S0.006700 -0.0057913701
K0.250000Mo0.500000Ce0.250000 1.7528213
Na0.250000Eu0.500000Tm0.250000 0.20512803
Cu0.250000Ga0.250000Hf0.250000Au0.250000 -0.29525337
Mn0.111100Sb0.555600U0.333300 -0.24126113
Hf0.250000Au0.500000Hg0.250000 -0.24289297
B0.250000Ca0.250000Ge0.500000 0.75373367
Cu0.250000La0.500000Pb0.250000 -0.33446276
Si0.250000Sm0.500000Ho0.250000 -0.040770213
Be0.500000Tb0.250000Pb0.250000 0.52819018
Na0.500000Ti0.250000Tb0.250000 0.8810086
Rb0.500000Pm0.250000Ho0.250000 0.92794686
Ga0.500000Zr0.250000Pr0.250000 -0.37841955
B0.250000Tm0.500000Pu0.250000 0.73252703
Li0.125000Sc0.125000Cu0.500000Zn0.250000 -0.16195372
Zr0.500000Cd0.250000Ir0.250000 -0.33976204
Ru0.250000Rh0.500000Hg0.250000 0.45383588
Ge0.250000Rb0.500000Nd0.250000 0.68723669
Ti0.500000Sr0.250000Er0.250000 0.67789015
Sb0.250000La0.500000Re0.250000 0.0073619375
Pr0.250000Ta0.250000Ir0.500000 -0.13639443
Tc0.500000Ba0.250000Pa0.250000 0.78453213
Rb0.500000Ba0.250000Os0.250000 1.4044274
Si0.250000Ge0.500000Tm0.250000 0.056193851
Cd0.500000Gd0.250000Np0.250000 0.56590147
B0.250000Pr0.500000Ho0.250000 0.70112422
Ti0.500000Ho0.500000 0.045287854
Sm0.750000Er0.250000 0.013084072
Sc0.250000Cu0.250000Ge0.250000Pd0.250000 -0.56111393
Li0.222200O0.555600Na0.222200 -1.121858
Ni0.250000Sn0.500000Np0.250000 0.47126242
Zr0.250000Eu0.250000Yb0.500000 0.33956769
Fe0.250000Cu0.250000Sn0.250000Os0.250000 0.25724968
Sr0.500000Cd0.250000Hg0.250000 -0.41223063
Si0.500000Np0.500000 -0.15453572
Al0.250000Fe0.250000Lu0.250000Au0.250000 -0.16644363
O0.625000P0.125000V0.125000Rb0.125000 -2.5815379
Na0.250000Si0.250000V0.500000 0.5359659
Cr0.250000Ga0.250000Dy0.500000 -0.098834947
Mg0.500000In0.250000Lu0.250000 -0.18160611
Sc0.250000Co0.250000Rh0.250000Sn0.250000 -0.65738498
Si0.400000Os0.400000U0.200000 -0.52487809
Rh0.250000Sm0.500000Eu0.250000 -0.1210899
Ru0.500000Ag0.250000Pt0.250000 0.59597494
Mg0.250000Tb0.500000Th0.250000 0.49344978
Co0.500000Pr0.250000Ho0.250000 -0.01804378
Rb0.250000Tc0.250000Pt0.500000 1.0237819
Cr0.250000In0.250000Hf0.500000 0.11749383
Mo0.250000Rh0.250000Ho0.500000 -0.053397182
Cs0.500000Ir0.250000Pb0.250000 1.0439922
Ti0.250000Mn0.250000Cu0.250000Tl0.250000 0.23978905
Mn0.250000Co0.250000Ir0.500000 0.032638722
Co0.250000Zn0.250000Lu0.250000Os0.250000 0.10682126
Sc0.250000Ag0.500000Cd0.250000 -0.24948064
Li0.250000Zr0.500000Tb0.250000 0.55936213
Na0.250000Rb0.500000Ba0.250000 0.16062547
Rb0.500000Sr0.250000Cs0.250000 0.12450306
Fe0.250000Tb0.500000Er0.250000 0.74367078
Na0.250000Cr0.250000Cs0.500000 0.64212731
Cu0.500000Dy0.250000Pb0.250000 -0.19055219
Be0.500000Mn0.250000In0.250000 0.33572564
As0.250000Tc0.500000La0.250000 0.1836255
Mo0.250000Pr0.250000Th0.500000 0.40085672
Zr0.250000Pt0.500000Au0.250000 -0.65940536
Li0.500000Sn0.250000Tl0.250000 -0.30896878
Y0.250000Nb0.250000Hf0.500000 0.28818762
Y0.500000Hg0.250000Tl0.250000 -0.4224117
Hg0.250000Bi0.250000Pu0.500000 -0.24821555
Mg0.250000As0.250000Cd0.500000 0.0055969525
V0.250000Tm0.250000W0.500000 0.53607598
O0.555600Zn0.222200Ac0.222200 -2.5981238
Mg0.333300Ho0.666700 -0.058892764
Nd0.250000Eu0.250000Np0.500000 0.85794536
V0.250000Nb0.500000Nd0.250000 0.55247754
Ca0.250000La0.250000Ir0.500000 -0.37258457
Cu0.500000Y0.250000Tm0.250000 -0.25914195
K0.250000Ti0.250000Ba0.500000 0.6581039
Cr0.500000Y0.250000Tl0.250000 0.52966305
Ca0.250000Th0.750000 0.18469989
O0.600000Er0.200000Re0.200000 -2.5595677
Li0.250000K0.500000Tc0.250000 1.2151149
Zr0.250000Sn0.500000Np0.250000 0.082007843
Be0.250000Yb0.500000Tl0.250000 -0.013415434
Fe0.250000Pr0.500000Np0.250000 1.0311913
Mn0.500000Sr0.250000Os0.250000 0.84968422
B0.250000Nd0.500000Tl0.250000 0.26325193
Na0.500000La0.250000Ce0.250000 0.31279403
O0.600000Cs0.200000Th0.200000 -3.533144
Mg0.250000Ho0.250000Tm0.500000 0.07204494
Li0.500000Yb0.250000Ta0.250000 0.77302446
P0.250000Ni0.500000Sn0.250000 -0.49287715
Tc0.500000In0.250000Au0.250000 0.40361786
Na0.250000Ca0.500000Te0.250000 -0.47577104
Sc0.250000Ho0.500000Au0.250000 -0.19351817
Be0.250000Zr0.250000Er0.500000 0.36138167
Sn0.250000Pm0.500000Tb0.250000 -0.12238875
Ba0.500000La0.250000Tl0.250000 0.085431541
Si0.500000Mn0.250000Lu0.250000 -0.064763372
B0.250000As0.250000Ir0.500000 0.55597319
Li0.500000Si0.250000Mo0.250000 0.067573229
Be0.250000B0.250000Cr0.250000Zr0.250000 0.12347447
O0.555600Ca0.222200Hg0.222200 -1.2975627
O0.600000Y0.200000Tl0.200000 -2.3373965
Se0.750000Sn0.250000 0.11111883
Cu0.250000Zn0.250000Cd0.250000Os0.250000 0.45840546
Be0.250000La0.250000Ac0.500000 0.4495196
Cr0.500000Cu0.250000Cd0.250000 0.61764089
Mg0.250000Mn0.500000Ac0.250000 0.50205574
K0.250000Pt0.250000Pu0.500000 0.22167505
Si0.250000Pm0.500000Tm0.250000 -0.04859187
Sc0.250000Co0.250000Ga0.250000Mo0.250000 0.08229923
Mn0.250000Co0.500000Nd0.250000 0.23112965
Ge0.500000Sn0.250000Tb0.250000 0.0025437466
Ga0.500000Nd0.250000Yb0.250000 -0.5190513
Al0.250000Co0.250000Nb0.250000Os0.250000 -0.4000607
Mg0.250000Sc0.500000Zn0.250000 -0.17756971
Ti0.250000Co0.250000Tc0.500000 -0.055743754
Te0.250000Gd0.500000Th0.250000 -0.17512795
Ge0.250000Zr0.250000Sn0.500000 0.10061478
Co0.500000Tc0.250000Er0.250000 0.097836624
V0.500000Nd0.250000Tm0.250000 0.50574638
Li0.533300O0.400000Ce0.066700 -2.1047354
K0.125000Br0.625000Sn0.250000 -1.2628902
Ga0.600000Pt0.400000 -0.60087414
O0.600000Ga0.200000Rh0.200000 -1.3392412
Al0.250000Ho0.500000Au0.250000 -0.57457908
V0.250000La0.500000Hg0.250000 0.066779493
Tc0.250000Tm0.250000Re0.500000 0.2712177
C0.206900Fe0.724100W0.069000 0.0050793291
Rb0.500000Pd0.250000Tm0.250000 0.81463561
B0.500000Cl0.166700Pr0.333300 -0.62111723
Ca0.250000Ga0.250000Ag0.500000 -0.24846923
Mn0.250000Co0.250000As0.250000Pd0.250000 -0.044056232
Li0.500000Rb0.250000In0.250000 0.087004975
Si0.250000La0.250000Ho0.500000 -0.0080638604
Mn0.250000Tm0.750000 0.1586557
Tm0.250000Ir0.250000Pt0.500000 -0.48306171
Zn0.250000Nd0.500000Er0.250000 0.014370828
Mg0.250000Zr0.250000Os0.500000 -0.045433304
Mo0.250000Ho0.250000Ac0.500000 0.57298368
P0.333300Fe0.571400Nd0.095200 -0.73911583
V0.500000Cr0.250000Eu0.250000 0.84729483
Li0.333300Os0.333300Pb0.333300 0.75750701
B0.250000Mg0.250000Ni0.250000Pd0.250000 0.22586205
Zr0.250000Lu0.250000Bi0.500000 -0.31585077
B0.250000Rh0.250000Gd0.500000 -0.14347241
Al0.250000Mn0.250000Co0.250000Ta0.250000 -0.0038613834
Nd0.250000Er0.500000Pt0.250000 -0.29613955
Ge0.500000Sm0.250000Re0.250000 -0.059058423
S0.571400Co0.285700Cu0.142900 -0.57583965
O0.571400Te0.285700Pb0.142900 -0.86273657
K0.250000La0.500000Yb0.250000 0.42891293
Be0.250000Pt0.250000Bi0.500000 0.36281103
Pd0.250000Au0.250000Pu0.500000 -0.38309214
Al0.250000Tc0.500000Eu0.250000 0.28843896
Te0.250000Lu0.500000Au0.250000 -0.70008365
K0.250000Zr0.500000Os0.250000 0.62242763
Mg0.500000K0.250000Nd0.250000 0.24639888
O0.600000Ce0.200000Hf0.200000 -4.0050097
Ru0.500000Ta0.250000Bi0.250000 0.24233074
Ge0.500000Cd0.250000Cs0.250000 0.46026585
K0.250000Ba0.500000Gd0.250000 0.34366584
C0.571400Sc0.428600 -0.4113101
Mn0.250000Ag0.750000 0.16561179
B0.250000Ge0.250000Th0.500000 0.047456529
Mn0.333300Yb0.333300Pt0.333300 -0.35732402
Li0.142900P0.142900Se0.571400Eu0.142900 -0.98493261
Be0.250000Ti0.500000W0.250000 -0.020807201
Ru0.250000Nd0.250000Er0.500000 0.10533214
B0.250000As0.250000Sn0.500000 0.85358554
Li0.500000Ge0.250000Pb0.250000 -0.21814804
Tc0.250000Rh0.250000Ta0.500000 -0.35062193
Ca0.250000Nb0.250000Sn0.500000 0.0021269105
K0.500000Hg0.250000Pu0.250000 0.56626534
Mn0.333300Ge0.333300Zr0.333300 -0.56995783
Rh0.500000Eu0.250000Th0.250000 -0.70996206
O0.571400Pm0.285700Eu0.142900 -3.5576825
Li0.500000Ca0.250000Co0.250000 0.35633087
Na0.500000Zr0.250000Sn0.250000 0.3733955
Al0.500000Tb0.250000Ho0.250000 -0.23021575
Sc0.500000Ti0.250000Pu0.250000 0.6705926
Ca0.500000Cu0.250000Y0.250000 0.32919617
Na0.500000Y0.250000Nb0.250000 0.96301277
Ge0.500000Re0.250000Os0.250000 0.24280761
Co0.500000Cd0.250000Pr0.250000 0.23351384
Ti0.500000Pd0.250000Pm0.250000 0.012146923
Cr0.500000Nb0.250000Rh0.250000 0.11761565
Mn0.250000Ru0.500000W0.250000 0.0035585841
Co0.250000Ni0.250000Re0.500000 0.33796878
Na0.250000Mg0.500000Gd0.250000 0.092433581
Na0.500000Ta0.250000Pt0.250000 1.0561597
K0.250000Rb0.250000Pu0.500000 1.0851044
Rb0.250000Ru0.250000Nd0.500000 0.57043
Ge0.187500Sb0.312500Yb0.500000 -0.86302425
Gd0.250000W0.250000Pa0.500000 0.566612
Nb0.500000W0.250000Pu0.250000 0.55059608
O0.714300Te0.285700 -1.2351184
Na0.250000Tb0.500000Ac0.250000 0.623491
Fe0.250000Tc0.250000Sn0.250000Au0.250000 0.27606086
Rb0.250000Th0.500000Np0.250000 1.1650716
Nb0.500000In0.250000Tb0.250000 0.50582514
Mn0.250000Te0.250000Dy0.500000 -0.1841344
Co0.250000Tc0.250000Gd0.500000 0.100651
Fe0.500000Sr0.250000W0.250000 1.0379529
Be0.250000Al0.250000Cr0.250000Zr0.250000 0.021575893
Ni0.500000Ga0.250000Np0.250000 -0.0026220584
O0.600000Eu0.200000Tb0.200000 -3.4521269
O0.250000V0.750000 0.2874735
As0.250000Tc0.250000Eu0.500000 0.010713678
Ge0.250000As0.500000Cs0.250000 0.58636737
Al0.250000Yb0.500000Th0.250000 0.30782556
Na0.250000Mn0.500000Tb0.250000 0.81065136
Se0.555600Cs0.111100Bi0.333300 -0.59851022
Nd0.250000Os0.500000Hg0.250000 0.8675978
Dy0.250000Hg0.500000Pb0.250000 -0.19824659
Rb0.500000Ho0.250000Er0.250000 0.96882034
Tc0.250000Rh0.500000Cs0.250000 1.431303
Ni0.250000Ga0.500000Ta0.250000 0.046632415
B0.500000Cu0.250000Ir0.250000 0.52472195
In0.250000Nd0.250000Hg0.500000 -0.35773483
Sr0.250000Ta0.500000Ac0.250000 1.3159106
O0.555600Pd0.222200Np0.222200 -2.0202914
O0.705900P0.235300U0.058800 -2.7719609
Rh0.250000Ho0.250000Pu0.500000 0.97797807
Mo0.250000Nd0.500000Eu0.250000 0.4220965
Zr0.250000Bi0.250000Pu0.500000 0.15599769
V0.500000Fe0.250000Re0.250000 -0.20648256
B0.250000Fe0.250000Ni0.250000Hg0.250000 0.83307679
H0.750000Na0.250000 0.56338236
Ge0.250000Sm0.500000Tl0.250000 -0.45277224
Mo0.500000W0.500000 -0.00996441
Fe0.250000Sm0.500000Pu0.250000 0.96631386
Rh0.500000Te0.250000U0.250000 -0.30076237
Br0.142900Te0.285700I0.142900Hg0.428600 -0.31844142
Co0.250000Ru0.250000W0.250000Bi0.250000 0.69150453
Ti0.500000Ge0.250000Sn0.250000 -0.17015272
Br0.666700Tc0.333300 -0.14935309
Sc0.250000U0.500000Np0.250000 0.48877846
Cs0.250000Gd0.500000Pb0.250000 0.23201113
Tb0.500000Lu0.250000U0.250000 0.80245725
Rh0.500000Sm0.250000Ir0.250000 -0.092120094
Co0.500000Te0.250000Np0.250000 0.19265747
Sr0.250000Tc0.500000Pu0.250000 1.0858341
Mn0.333300As0.333300Cs0.333300 -0.19498422
Li0.250000Co0.500000Sm0.250000 0.29217257
V0.250000Co0.250000Ga0.250000Re0.250000 -0.14203081
B0.500000Sn0.500000 0.69885063
B0.250000Re0.250000Pu0.500000 1.1550521
Co0.250000Gd0.250000Er0.500000 0.31255079
Ti0.500000Pr0.250000Np0.250000 0.49827041
Ti0.250000Ag0.250000Nd0.500000 0.13380047
La0.250000Dy0.500000Pt0.250000 -0.31414878
Li0.333300O0.500000Nb0.083300Pa0.083300 -2.4560569
Cr0.250000Ge0.500000Ba0.250000 0.23873489
Li0.500000Ru0.250000Cs0.250000 0.94916121
Na0.500000Pt0.250000U0.250000 0.7016989
Tc0.250000Yb0.250000Hf0.500000 0.13810311
Ga0.250000Pm0.500000Pa0.250000 0.16074533
Nd0.250000Hf0.250000Pa0.500000 0.50803125
B0.250000Co0.250000W0.250000Hg0.250000 1.205366
Be0.333300Na0.333300Hg0.333300 0.7704749
Sc0.250000V0.250000Co0.250000As0.250000 -0.20710877
B0.250000P0.125000Fe0.625000 -0.42463078
O0.571400Cr0.142900Lu0.285700 -3.2926641
Sc0.250000Zn0.500000Sb0.250000 -0.078193948
Ce0.250000Tl0.250000Bi0.500000 -0.28749903
Be0.250000As0.250000Tm0.500000 -0.3346785
Y0.500000Zr0.250000Mo0.250000 0.47575032
Cu0.250000Nb0.250000Rh0.250000Sb0.250000 -0.018102821
B0.222200O0.555600Sm0.222200 -2.1928435
Rh0.500000Gd0.250000Bi0.250000 -0.52845814
Zr0.500000Nb0.250000Sn0.250000 -0.24738809
Rh0.500000Tm0.250000Pu0.250000 -0.65670364
B0.500000Si0.250000V0.250000 0.77892954
Si0.250000Cd0.500000Eu0.250000 -0.14249419
Cu0.250000Ru0.250000Te0.500000 0.28196922
Sr0.250000W0.500000Ac0.250000 1.6580485
Hf0.500000Bi0.500000 0.003496715
V0.250000Mn0.500000Sm0.250000 0.49439548
Mn0.250000Nd0.250000Lu0.500000 0.31763644
Tc0.250000Ba0.250000Er0.500000 0.47144173
P0.666700La0.333300 -1.2612495
Rb0.250000Ce0.250000Nd0.500000 0.53926405
Cd0.250000Pr0.250000Yb0.500000 -0.0061456644
Rb0.250000Ir0.500000Np0.250000 0.98709148
Zn0.250000Ge0.500000Re0.250000 0.51014927
Rh0.250000Lu0.500000Ac0.250000 0.055767831
F0.500000Au0.500000 -0.56663188
Si0.250000In0.500000Er0.250000 0.10778709
O0.571400K0.214300As0.142900La0.071400 -2.3269825
Na0.250000Yb0.250000Hf0.500000 0.86069436
Be0.500000Zn0.250000Pm0.250000 0.094955012
Mg0.250000Ba0.500000Yb0.250000 0.020387209
Pr0.250000Ho0.500000Np0.250000 0.45379743
Pm0.250000Tb0.500000Ta0.250000 0.79109104
Ca0.250000W0.250000Bi0.500000 0.38031385
V0.500000Y0.250000Mo0.250000 0.4269242
Ga0.500000Ce0.250000Th0.250000 -0.41742597
Na0.500000V0.250000Y0.250000 0.81513832
Ac0.500000Pa0.250000U0.250000 0.88558931
Ru0.250000Sb0.500000W0.250000 0.34872034
Ba0.500000Dy0.250000Hf0.250000 0.73294581
Ti0.250000Er0.250000Yb0.500000 0.45530681
Al0.250000Fe0.500000Tb0.250000 0.1976625
Sb0.250000Tm0.250000Re0.500000 0.43295026
Zr0.250000Ac0.500000Pu0.250000 0.9757725
Co0.250000Ge0.250000Te0.500000 0.46696643
Zr0.250000Ag0.250000Pm0.500000 0.14810286
Mg0.250000V0.500000Eu0.250000 0.82017193
Ge0.250000Dy0.250000Bi0.500000 -0.10846413
Ti0.250000Cr0.250000Mn0.250000In0.250000 0.097106089
H0.210500O0.526300Na0.105300Se0.105300Cd0.052600 -1.3396661
Zn0.250000Os0.500000Pt0.250000 0.39882498
Rh0.250000Hg0.250000Ac0.500000 -0.41652656
Mo0.500000Tl0.250000Pa0.250000 0.44120332
K0.250000Tc0.500000Dy0.250000 1.3994373
Zn0.250000Zr0.250000Ac0.500000 0.19015849
Mg0.250000Nb0.250000Ir0.500000 -0.45622398
K0.250000Eu0.250000Bi0.500000 -0.49442993
Co0.250000Re0.500000Pb0.250000 0.84710517
Mg0.250000Cu0.500000Pd0.250000 -0.24488607
Zr0.250000Pr0.250000Th0.500000 0.19450489
B0.250000Co0.250000Pd0.250000Hg0.250000 0.80932771
Mn0.250000Ge0.250000Ru0.500000 -0.26434722
Ti0.500000Rh0.250000Sm0.250000 -0.072828635
C0.111100Ge0.333300Sm0.555600 -0.6482895
B0.666700Yb0.222200Os0.111100 -0.40938727
Pr0.250000Tb0.500000Au0.250000 0.18689394
Fe0.250000As0.250000Tc0.250000Ag0.250000 0.3969188
Ag0.666700Ba0.333300 -0.28891589
Be0.500000Cd0.250000U0.250000 0.48707076
H0.421100B0.105300O0.421100Ca0.052600 -1.4400906
Ni0.250000Ru0.500000Ba0.250000 1.1738862
Cr0.250000Ni0.250000Ge0.250000Mo0.250000 0.089564516
Cu0.250000Y0.250000Sb0.250000Os0.250000 -0.01600815
Sc0.250000Cu0.250000As0.250000Os0.250000 -0.040887703
Mn0.500000Sb0.250000Gd0.250000 0.00513884
Rb0.500000In0.250000Pm0.250000 0.57416225
Cr0.250000As0.250000Ta0.250000Hg0.250000 0.44294761
Mg0.250000V0.500000Hf0.250000 0.47248126
B0.500000Sr0.250000Ac0.250000 0.76335167
O0.600000Sb0.200000Pu0.200000 -1.9258715
Te0.250000Os0.500000Hg0.250000 1.0461761
Fe0.250000Zn0.250000As0.250000Ta0.250000 0.21566779
Si0.250000Gd0.500000Tm0.250000 -0.048537865
Cr0.250000Co0.250000In0.250000Pt0.250000 -0.029137563
Mn0.250000Sm0.250000Ir0.500000 -0.1717139
Sc0.250000Cr0.500000Ag0.250000 0.49207899
Ga0.500000In0.250000Th0.250000 -0.22100966
Al0.250000Cr0.250000Zr0.250000Hg0.250000 0.099076475
Be0.250000Ru0.250000Ag0.500000 0.46999351
Ru0.250000Ag0.250000Re0.500000 0.92828376
Cr0.250000Sb0.250000Ho0.500000 -0.15158026
Pr0.500000Os0.250000Th0.250000 0.43511761
Mn0.500000Eu0.250000Gd0.250000 0.33745891
Sr0.500000Sb0.250000Ho0.250000 -0.09844027
Cr0.250000Rb0.250000Pt0.500000 0.78524335
Pr0.250000Eu0.500000Dy0.250000 0.14248792
Mn0.500000Pt0.250000Np0.250000 0.28030886
Ce0.250000Tm0.250000Hg0.500000 -0.39359274
Ti0.250000Sb0.250000Ce0.500000 -0.19561762
Li0.150000O0.600000Nb0.100000Te0.150000 -1.8830638
Sc0.250000Zn0.500000Ce0.250000 -0.27828553
Si0.250000Tc0.500000Au0.250000 0.13887529
B0.250000Co0.250000Tc0.250000Hf0.250000 0.20967053
Mg0.250000Al0.250000Ga0.500000 -0.013039021
Ge0.500000W0.250000Ir0.250000 0.17071801
Dy0.250000Tm0.750000 0.0019175646
Ca0.250000Tc0.500000U0.250000 0.35454227
O0.600000Y0.200000Re0.200000 -1.9342411
V0.250000Zn0.500000Pu0.250000 0.22049743
B0.500000Al0.250000Ba0.250000 1.1804777
F0.666700Zn0.142900Sr0.190500 -3.5141847
Sc0.250000Cu0.250000Re0.250000Pb0.250000 0.38549742
Ga0.250000Nb0.500000Pm0.250000 0.30645766
O0.555600Mg0.222200Au0.222200 -1.0499074
Ti0.250000Ce0.250000Np0.500000 0.78154616
V0.250000Sr0.250000U0.500000 1.3020895
Mg0.500000In0.250000Sb0.250000 -0.089584346
Eu0.500000Ac0.500000 0.011713571
Ti0.500000Tc0.250000Np0.250000 0.1428894
O0.666700Al0.166700V0.166700 -2.7156706
Ca0.250000Pm0.250000Ir0.500000 -0.38418924
Cr0.500000Au0.250000Np0.250000 0.71093734
Fe0.333300As0.333300Sb0.333300 0.62977332
Y0.500000Ta0.250000Pb0.250000 0.19216039
Nd0.500000Ta0.250000Pt0.250000 0.081609035
Ga0.500000Tc0.250000Eu0.250000 -0.091504976
K0.500000Cu0.250000Sm0.250000 0.89942165
Mg0.250000Cr0.250000Ni0.250000Zn0.250000 0.074870834
Sc0.250000Cu0.500000Te0.250000 -0.043446925
K0.500000V0.250000Os0.250000 2.4901044
V0.500000Ho0.250000Pb0.250000 0.42608258
Nb0.250000Tb0.500000Ir0.250000 0.28962058
Ti0.250000Pr0.500000Tb0.250000 0.45699773
Eu0.250000Lu0.500000Au0.250000 -0.16178911
Rh0.250000La0.500000Pt0.250000 -0.87342352
Pd0.500000Sm0.250000Dy0.250000 -0.83509551
Li0.250000Na0.250000Sr0.500000 0.017352955
Co0.250000Sn0.500000Tb0.250000 -0.29589824
Ba0.500000Tm0.250000Lu0.250000 0.3807614
Mg0.250000Fe0.250000Co0.250000Pb0.250000 0.38724502
Cu0.250000As0.250000Ru0.250000Cd0.250000 0.30197626
O0.600000Tc0.200000Tl0.200000 -1.3787635
Ga0.200000Ta0.600000Au0.200000 -0.09758577
Sr0.250000Y0.500000Cs0.250000 0.68254725
Pm0.250000Au0.500000Bi0.250000 -0.61324253
O0.090900I0.545500Ba0.363600 -2.1403378
B0.250000Na0.250000Rb0.500000 1.0769072
O0.750000Tb0.250000 -1.6600118
Na0.250000Mn0.250000Yb0.500000 0.3267278
Co0.250000Ge0.250000Tc0.250000Pt0.250000 0.034085605
Mn0.250000Er0.500000Bi0.250000 -0.084880787
Fe0.250000As0.500000Zr0.250000 -0.28691827
Pt0.500000Pb0.250000Pa0.250000 -0.60888737
Mg0.250000Tb0.500000Np0.250000 0.74216072
Na0.250000Tc0.500000Hf0.250000 0.65500125
Yb0.500000Lu0.250000Pu0.250000 0.26428407
Zn0.500000Pd0.250000Ce0.250000 -0.39875138
K0.250000Cu0.250000Pm0.500000 0.51920114
Si0.250000Ni0.500000Th0.250000 -0.38606543
Be0.500000Rh0.250000Th0.250000 -0.05182236
Cu0.250000Zn0.250000Re0.250000Tl0.250000 0.80335677
Zn0.250000Nd0.500000Lu0.250000 -0.0016494463
Ti0.250000Sb0.500000Ho0.250000 -0.45592333
Zr0.500000Os0.250000Ir0.250000 -0.62431675
Co0.500000Nd0.250000Eu0.250000 0.18043144
As0.250000Os0.250000Pa0.500000 -0.25945736
K0.166700I0.666700Au0.166700 -0.67323572
Mg0.250000Si0.250000Pr0.500000 -0.27795008
O0.666700Sm0.166700Ta0.166700 -3.5469168
Yb0.250000Hg0.250000Pu0.500000 0.18201517
O0.571400K0.142900Pu0.285700 -3.0980769
